dish_id,ingr_id,ingr_name,grams,calories,fat,carb,protein,ingredient_count,ingr_cal_pct_of_dish,complexity_category
dish_1561662216,ingr_0000000508,soy sauce,3.398568,1.80124104,0.020391408,0.166529832,0.275284008,17,0.5988282204075549,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000122,garlic,2.124105,3.16491645,0.010620525,0.70095465,0.13594272,17,1.0521863778387464,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000026,white rice,8.49642,11.045346,0.02548926,2.3789976,0.22940334,17,3.672059842121799,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000524,parsley,0.213397,0.079170287,0.001707176,0.013657408,0.006188513,17,0.026320409662310036,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000094,onions,1.707173,0.6828692,0.001707173,0.15364557,0.018778903,17,0.22702200245622353,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000023,brown rice,68.0,75.48,0.612,15.64,1.768,17,25.093562201071233,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000189,vinegar,0.853586,0.0,0.0,0.0,0.0,17,0.0,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000054,apple,4.267931,2.21932412,0.008535862,0.59751034,0.012803793,17,0.7378212486692857,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000029,mixed greens,21.339657,5.97510396,0.085358628,1.131001821,0.469472454,17,1.986442009514137,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000328,sugar,6.372315,24.7245822,0.0,6.372315,0.0,17,8.219764723518795,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000291,salt,0.531519,0.0,0.0,0.0,0.0,17,0.0,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000520,lemon juice,0.853586,0.14510962,0.0,0.047800816,0.003414344,17,0.04824214726343151,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000161,olive oil,3.243628,28.67367152,3.243628,0.0,0.0,17,9.532651825916863,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000462,pork,59.474941,141.55035958,8.32649174,0.0,15.46348466,17,47.05885999873781,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000525,bok choy,8.49642,1.1045346,0.01699284,0.18692124,0.1274463,17,0.36720598421217987,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000312,pepper,0.212411,0.0849644,0.000424822,0.019754223,0.00424822,17,0.028246680660793545,Sangat Kompleks (>10 bahan)
dish_1561662216,ingr_0000000513,millet,3.414345,4.06307055,0.03414345,0.809199765,0.119502075,17,1.3507805189953062,Sangat Kompleks (>10 bahan)
dish_1562688426,ingr_0000000433,roasted potatoes,17.0,23.97,1.156,3.06,0.357,2,17.423857958790894,Sederhana (2-3 bahan)
dish_1562688426,ingr_0000000510,chicken apple sausage,71.0,113.6,7.1,2.13,9.94,2,82.57614785643077,Sederhana (2-3 bahan)
dish_1561662054,ingr_0000000312,pepper,0.300716,0.1202864,0.000601432,0.027966588,0.00601432,17,0.028677939466265186,Sangat Kompleks (>10 bahan)
dish_1561662054,ingr_0000000026,white rice,12.02864,15.637232,0.03608592,3.3680192,0.32477328,17,3.728132130614474,Sangat Kompleks (>10 bahan)
dish_1561662054,ingr_0000000029,mixed greens,75.28157,21.0788396,0.30112628,3.98992321,1.65619454,17,5.025486555985659,Sangat Kompleks (>10 bahan)
dish_1561662054,ingr_0000000122,garlic,3.00716,4.4806684,0.0150358,0.9923628,0.19245824,17,1.0682532451183782,Sangat Kompleks (>10 bahan)
